Name;assignment;pH;ref_pH;real_5;
Deschampsia;grass;acidic to neutral;https://en.hortipedia.com/Deschampsia_cespitosa;2;
Deschampsia antarctica;contaminant;out;out;out;
Dianthus;herbaceous;acidic to neutral;https://www.thespruce.com/perennial-dianthus-flower-1316045;2;
Dianthus caryophyllus;contaminant;out;out;out;
Dianyuea;contaminant;out;out;out;
Dianyuea turbinata;contaminant;out;out;out;
Dicentra;herbaceous;slightly acidic;https://www.whiteflowerfarm.com/how-to-grow-dicentra-bleeding-heart;2;
Dicentra formosa;contaminant;out;out;out;
Dichotomanthes;contaminant;out;out;out;
Dichotomanthes tristaniicarpa;contaminant;out;out;out;
Digitaria;contaminant;out;out;out;
Digitaria exilis;contaminant;out;out;out;
Digitaria sanguinalis;contaminant;out;out;out;
Dioscorea;contaminant;out;out;out;
Dioscorea cayenensis;contaminant;out;out;out;
Diospyros;contaminant;out;out;out;
Diospyros lotus;contaminant;out;out;out;
Diphasiastrum;contaminant;out;out;out;
Diphasiastrum digitatum;contaminant;out;out;out;
Diplazium;fern;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Diplazium;3;
Diplazium sibiricum;fern;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Diplazium;3;
Diplostephium;contaminant;out;out;out;
Diplostephium hartwegii;contaminant;out;out;out;
Dipoma;contaminant;out;out;out;
Dipoma iberideum;contaminant;out;out;out;
Dipsacus;contaminant;out;out;out;
Dipsacus laciniatus;contaminant;out;out;out;
Distichium;moss;unknown;out;out;
Distichium capillaceum;moss;unknown;out;out;
Draba;herbaceous;neutral to slightly alkaline;;4;
Draba aizoides;contaminant;out;out;out;
Draba nemorosa;herbaceous;neutral to slightly alkaline;;4;
Draba oligosperma;contaminant;neutral to slightly alkaline;;4;
Drosera;contaminant;out;out;out;
Drosera indica;contaminant;out;out;out;
Drosera rotundifolia;contaminant;out;out;out;
Dryas;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Dryas+octopetala;3;
Dryas ajanensis;contaminant;out;out;out;
Dryas alaskensis;contaminant;out;out;out;
Dryas crenulata;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Dryas+octopetala;3;
Dryas drummondii;contaminant;out;out;out;
Dryas grandis;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Dryas+octopetala;3;
Dryas integrifolia;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Dryas+octopetala;3;
Dryas integrifolia x Dryas octopetala;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Dryas+octopetala;3;
