depth	min	max	median	mean
762	15566	16368	15967	15965
763	15576	16377	15975	15973
764	15581	16387	15982	15981
765	15589	16399	15990	15989
766	15594	16410	15998	15997
767	15599	16419	16007	16005
768	15605	16429	16016	16013
769	15613	16440	16024	16020
770	15618	16450	16032	16028
771	15629	16460	16039	16036
772	15636	16467	16046	16044
773	15644	16472	16054	16052
774	15648	16480	16062	16060
775	15654	16486	16069	16068
776	15660	16493	16077	16075
777	15667	16506	16084	16083
778	15673	16513	16093	16091
779	15680	16521	16101	16099
780	15687	16533	16109	16107
781	15694	16541	16118	16115
782	15701	16548	16125	16122
783	15706	16556	16133	16130
784	15714	16563	16142	16138
785	15720	16571	16150	16146
786	15728	16579	16157	16153
787	15735	16589	16165	16161
788	15741	16596	16172	16169
789	15747	16612	16180	16177
790	15751	16623	16187	16185
791	15760	16631	16194	16192
792	15767	16638	16201	16200
793	15774	16647	16210	16208
794	15783	16655	16219	16216
795	15790	16666	16225	16224
796	15797	16677	16233	16232
797	15801	16687	16241	16240
798	15806	16696	16249	16248
799	15812	16706	16257	16256
800	15818	16718	16264	16264
801	15823	16727	16272	16272
802	15829	16735	16280	16280
803	15836	16744	16289	16288
804	15844	16751	16296	16295
805	15850	16760	16304	16303
806	15856	16770	16311	16311
807	15859	16782	16319	16319
808	15863	16789	16326	16327
809	15867	16799	16334	16335
810	15873	16813	16342	16342
811	15877	16819	16350	16350
812	15888	16827	16357	16358
813	15899	16832	16366	16366
814	15904	16841	16374	16374
815	15911	16850	16382	16381
816	15920	16856	16390	16389
817	15927	16868	16398	16397
818	15935	16877	16407	16405
819	15941	16887	16414	16412
820	15944	16896	16422	16420
821	15952	16905	16430	16428
822	15961	16915	16438	16436
823	15967	16921	16447	16444
824	15974	16928	16457	16452
825	15983	16938	16466	16460
826	15990	16945	16474	16468
827	15996	16955	16482	16476
828	16000	16967	16491	16484
829	16008	16975	16499	16492
830	16018	16983	16506	16500
831	16026	16989	16513	16507
832	16031	16996	16521	16514
833	16039	17005	16528	16521
834	16045	17014	16534	16528
835	16053	17024	16541	16535
836	16059	17031	16548	16542
837	16065	17037	16555	16549
838	16070	17042	16562	16556
839	16074	17051	16569	16563
840	16077	17059	16575	16570
841	16084	17064	16582	16576
842	16090	17071	16589	16582
843	16098	17079	16595	16588
844	16102	17088	16602	16595
845	16108	17092	16608	16601
846	16112	17096	16613	16607
847	16114	17104	16619	16613
848	16119	17113	16625	16619
849	16126	17120	16632	16626
850	16130	17124	16638	16632
851	16137	17130	16643	16638
852	16143	17138	16650	16644
853	16150	17141	16656	16650
854	16154	17145	16662	16656
855	16159	17149	16670	16662
856	16166	17158	16676	16668
857	16170	17167	16682	16674
858	16176	17175	16688	16680
859	16181	17183	16694	16686
860	16183	17189	16700	16692
861	16192	17194	16706	16698
862	16198	17202	16712	16704
863	16204	17209	16718	16711
864	16211	17215	16725	16717
865	16217	17219	16731	16723
866	16221	17226	16738	16729
867	16225	17233	16744	16735
868	16230	17242	16751	16741
869	16231	17248	16756	16748
870	16237	17260	16761	16754
871	16243	17263	16767	16760
872	16249	17271	16774	16766
873	16255	17277	16780	16772
874	16262	17281	16786	16778
875	16270	17287	16792	16784
876	16275	17292	16798	16791
877	16279	17300	16804	16797
878	16283	17306	16811	16803
879	16290	17308	16818	16809
880	16295	17316	16824	16815
881	16301	17322	16830	16821
882	16307	17328	16835	16827
883	16312	17334	16841	16833
884	16319	17339	16847	16839
885	16326	17346	16854	16845
886	16333	17352	16859	16851
887	16339	17360	16865	16857
888	16343	17366	16871	16863
889	16349	17374	16877	16869
890	16354	17378	16884	16875
891	16362	17387	16890	16882
892	16367	17395	16896	16888
893	16373	17401	16903	16894
894	16381	17409	16909	16900
895	16390	17415	16915	16906
896	16394	17422	16921	16912
897	16398	17430	16928	16918
898	16404	17438	16935	16925
899	16409	17447	16941	16931
900	16414	17452	16948	16937
901	16422	17460	16954	16943
902	16429	17464	16959	16948
903	16433	17469	16965	16954
904	16441	17474	16972	16960
905	16446	17479	16978	16966
906	16449	17486	16983	16972
907	16454	17494	16989	16978
908	16459	17498	16995	16983
909	16463	17503	17000	16989
910	16466	17507	17006	16995
911	16473	17512	17012	17001
912	16480	17519	17018	17006
913	16486	17525	17024	17012
914	16489	17532	17030	17018
915	16493	17537	17036	17023
916	16499	17547	17041	17029
917	16503	17555	17046	17035
918	16508	17562	17052	17041
919	16510	17568	17058	17046
920	16516	17577	17063	17052
921	16524	17582	17068	17058
922	16529	17590	17073	17063
923	16534	17597	17078	17069
924	16541	17601	17085	17075
925	16546	17607	17089	17081
926	16554	17614	17095	17086
927	16559	17620	17100	17092
928	16566	17626	17104	17098
929	16568	17632	17110	17104
930	16572	17638	17117	17109
931	16577	17646	17123	17115
932	16583	17652	17127	17121
933	16589	17658	17133	17127
934	16593	17664	17140	17132
935	16600	17668	17146	17138
936	16605	17676	17152	17144
937	16609	17682	17158	17150
938	16612	17688	17163	17156
939	16615	17696	17170	17161
940	16619	17702	17174	17167
941	16626	17706	17180	17173
942	16633	17715	17186	17179
943	16635	17721	17191	17185
944	16639	17728	17197	17190
945	16644	17734	17203	17196
946	16651	17742	17209	17202
947	16656	17750	17214	17208
